#itr,#feature,lrate,regSocial,regBias,regPostv,regNegtv,regUser,regItem,RMSE
90,10,0.001,0.7,0.77,0.015,0.019,-0.0224615906271132,-0.0597885152543296,0.952182314104305
91,10,0.001,0.7,0.77,0.015,0.019,-0.0217596442457531,-0.0610082272275351,0.950308749371258
92,10,0.001,0.7,0.77,0.015,0.019,-0.0210329260040057,-0.0622237779921177,0.948521472477884
93,10,0.001,0.7,0.77,0.015,0.019,-0.0202815809609123,-0.0634350501548934,0.94677446876237
94,10,0.001,0.7,0.77,0.015,0.019,-0.0195059571383827,-0.064641884872599,0.945102832338841
95,10,0.001,0.7,0.77,0.015,0.019,-0.0187059992462866,-0.0658440717870519,0.943479238392591
96,10,0.001,0.7,0.77,0.015,0.019,-0.0178828785841421,-0.067042215411957,0.941907436703337
97,10,0.001,0.7,0.77,0.015,0.019,-0.0170369203183727,-0.0682363213846864,0.940470869378124
98,10,0.001,0.7,0.77,0.015,0.019,-0.0161683318856729,-0.0694263010075329,0.939012250263023
99,10,0.001,0.7,0.77,0.015,0.019,-0.0152777830411754,-0.0706121591835654,0.9376293331086
100,10,0.001,0.7,0.77,0.015,0.019,-0.0143651864633915,-0.0717937592130255,0.936314104713351
101,10,0.001,0.7,0.77,0.015,0.019,-0.013431335573368,-0.0729716005572391,0.935061314678328
102,10,0.001,0.7,0.77,0.015,0.019,-0.0124764521578234,-0.0741454703286766,0.933795178104111
103,10,0.001,0.7,0.77,0.015,0.019,-0.0115007379972409,-0.075315208172698,0.932614451465254
104,10,0.001,0.7,0.77,0.015,0.019,-0.0105043100333742,-0.0764807928325415,0.931424160098312
105,10,0.001,0.7,0.77,0.015,0.019,-0.00948778608709742,-0.0776423747046323,0.930332480046861
106,10,0.001,0.7,0.77,0.015,0.019,-0.00845159101845132,-0.0788001587182335,0.929314671322506
107,10,0.001,0.7,0.77,0.015,0.019,-0.00739615116977997,-0.0799541414837817,0.92829313746177
108,10,0.001,0.7,0.77,0.015,0.019,-0.00632189674047795,-0.0811043446763869,0.927360735168024
109,10,0.001,0.7,0.77,0.015,0.019,-0.00522885709139283,-0.0822507734389461,0.92640746197204
110,10,0.001,0.7,0.77,0.015,0.019,-0.00411729552263904,-0.0833934805708128,0.925492471632674
111,10,0.001,0.7,0.77,0.015,0.019,-0.00298778024368863,-0.0845326759448557,0.924564388440653
112,10,0.001,0.7,0.77,0.015,0.019,-0.00184051723867044,-0.085668275677758,0.923682308607295
113,10,0.001,0.7,0.77,0.015,0.019,-0.000675994372619562,-0.0868004250350628,0.92284304900413
114,10,0.001,0.7,0.77,0.015,0.019,0.000505896528905848,-0.0879290369005171,0.922008073590711
115,10,0.001,0.7,0.77,0.015,0.019,0.001704969046452,-0.0890537675506712,0.921222038311158
116,10,0.001,0.7,0.77,0.015,0.019,0.00292069461262105,-0.0901749246822869,0.920465479741061
117,10,0.001,0.7,0.77,0.015,0.019,0.00415278313288082,-0.0912928559511406,0.919667668292566
118,10,0.001,0.7,0.77,0.015,0.019,0.0054011691237236,-0.0924071452334563,0.918887348063672
119,10,0.001,0.7,0.77,0.015,0.019,0.00666563985244558,-0.093517936623764,0.918180781787186
120,10,0.001,0.7,0.77,0.015,0.019,0.00794579655092627,-0.0946254215953356,0.917523657841223
121,10,0.001,0.7,0.77,0.015,0.019,0.00924147902040059,-0.0957294442168921,0.91689876377384
122,10,0.001,0.7,0.77,0.015,0.019,0.0105523958405124,-0.0968300592015375,0.916287560474264
123,10,0.001,0.7,0.77,0.015,0.019,0.01187840733747,-0.0979272928033233,0.915646490212748
124,10,0.001,0.7,0.77,0.015,0.019,0.0132192241572792,-0.0990211366729306,0.915041846579035
125,10,0.001,0.7,0.77,0.015,0.019,0.0145745054993049,-0.100111816174274,0.914484253875775
126,10,0.001,0.7,0.77,0.015,0.019,0.0159445417200641,-0.101198990860347,0.913925126900196
127,10,0.001,0.7,0.77,0.015,0.019,0.0173288546708539,-0.102283057871222,0.913441792289598
128,10,0.001,0.7,0.77,0.015,0.019,0.0187270407604333,-0.103363988866952,0.912916968453921
129,10,0.001,0.7,0.77,0.015,0.019,0.0201392162254886,-0.104441668618646,0.912427230613632
130,10,0.001,0.7,0.77,0.015,0.019,0.0215648352470605,-0.105516173203564,0.91199817925755
131,10,0.001,0.7,0.77,0.015,0.019,0.0230035742302288,-0.106587823217429,0.911557782042623
132,10,0.001,0.7,0.77,0.015,0.019,0.0244557766706882,-0.107656190164499,0.911142162551572
133,10,0.001,0.7,0.77,0.015,0.019,0.0259206724569906,-0.108721728068365,0.910719468593497
